ID;Type;SKU;Name;Published;Is featured?;Visibility in catalog;Short description;Description;Date sale price starts;Date sale price ends;Tax status;Tax class;In stock?;Stock;Backorders allowed?;Sold individually?;Weight (lbs);Length (in);Width (in);Height (in);Allow customer reviews?;Purchase note;Sale price;Regular price;Categories;Tags;Shipping class;Images;Download limit;Download expiry days;Parent;Grouped products;Upsells;Cross-sells;External URL;Button text;Position;Attribute 1 name;Attribute 1 value(s);Attribute 1 visible;Attribute 1 global;Attribute 2 name;Attribute 2 value(s);Attribute 2 visible;Attribute 2 global;Meta: _wpcom_is_markdown;Download 1 name;Download 1 URL;Download 2 name;Download 2 URL
;simple;;Gel Nettoyant 200ml;1;1;visible;;"Avec l’aloe Vera et l’huile d’argan, ce gel nettoyant visage nettoie en douceur et désobstrue les pores en profondeur. La peau est nette, fraiche et purifiée.

Appliquez sur une peau mouillée et faire mousser pour un nettoyage optimal, rincez abondamment.

";;;taxable;;1;;0;0;;;;;1;;16,9;11,83;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue, Green, Red;1;1;Size;Large, Medium, Small;1;1;1;;;;
;simple;;Après Rasage;1;1;visible;;"Apaisant + Hydratant 24H + Défatigant

Ce soin Après-rasage hypoallergénique avec une formule hautement concentrée et riche en Aloe Vera et en huile d’argan, pénètre facilement, laissant la peau tonifiée, hydratée et extrêmement douce et apaisée. Faites de l’instant rasage un moment de plaisir grâce à cet après-rasage sans alcool ! Appliquez après le rasage.

";;;taxable;;1;;0;0;;;;;1;;13,8;9,66;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue, Green, Red;1;1;Logo;Yes, No;1;0;1;;;;
;simple;;Ecran SPF 50+;1;1;visible;;"Jamais un écran n’a été aussi Riche

Cet Ecran d’Arvea Nature a un indice de protection solaire +50.

La crème est concentrée et n’est pas huileuse, elle est Waterproof, elle pénètre très rapidement, et surtout ne laisse pas la peau grasse.

Ne laisse pas de résidus ou de sensation collante sur la peau.";;;taxable;;1;;0;0;;;;;1;;32,8;22,96;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue;1;1;;;;;1;;;;
;simple;;Six Cream Teint Clair;1;1;visible;;"Le Six Cream est une Innovation d’Arvea Nature.

En effet la Six cream est une crème riche qui permet six actions jamais réunis dans la même crème.

La Six Cream est :

Hydratante
Anti âge
Ecran SPF 50+
Teinté
Anti Tâches
Eclaircissante
Apporte un toucher doux et velouté à la peau.";;;taxable;;1;;0;0;;;;;1;;34,8;24,36;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Gray;1;1;;;;;1;;;;
;simple;;Six Cream Teint Beige Abricot;1;1;visible;;"Le Six Cream est une Innovation d’Arvea Nature.

En effet la Six cream est une crème riche qui permet six actions jamais réunis dans la même crème.

La Six Cream est :

Hydratante
Anti âge
Ecran SPF 50+
Teinté
Anti Tâches
Eclaircissante
Apporte un toucher doux et velouté à la peau.";;;taxable;;1;;0;0;;;;;1;;34,8;24,36;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Red;1;1;;;;;1;;;;
;simple;;Crème De Nuit;1;1;visible;;"La nouvelle crème de nuit d’arvea nature associe les vertus hydratantes d’aloe vera, huile d’argan et beurre de karité avec une des huiles les plus chères du monde : huile de pepins de figue de barbarie 100% bio

La forte concentration en vitamine E de l’huile de figue de barbarie est plus importante que n’importe quelle autre huile sur le marché (supérieure à 100 mg/100 g) ce qui en fait un puissant antioxydant.

L’huile de figue de Barbarie remplie parfaitement son rôle d'anti-age et d’anti-rides. Sur la peau, elle possède 1001 propriétés, comme entre autres d’affiner et de resserrer le grain de peau, d’estomper les petites tâches parfois disgracieuses, de réguler le sébum mais aussi de limiter la déshydratation.

L'huile de figue de barbarie offre une extraordinaire cure de jouvence à votre peau. Elle fait barrage au vieillissement cutané et booste le renouvellement cellulaire. Résultat, elle diminue les rides, s'attaque aux cernes disgracieuses et offre une protection contre les agressions quotidiennes de la peau.

Au toucher, l'huile de figue de barbarie est moins grasse que d'autres huiles et elle pénètre rapidement dans l'épiderme. Surtout, elle convient à tous types de peaux, grasse, sèche ou mixte, et même se rendre utile à tout âge, ce qui en fait un produit familial.

Utlisation : Appliquer sur le visage et le cou le soir

";;;taxable;;1;;0;0;;;;;1;;44,8;31,36;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;;;;
;simple;;Baume À Lèvres;1;1;visible;;Le baume à lèvres ARVEA contient 4 actifs naturels essentiels à l’hydratation des lèvres : Aloe Vera, Huile d’argan, Huile de jojoba et Beurre de karité. Ce soin riche en vitamines aide à retrouver l’équilibre des parties labiales grâce aux apports d’éléments nutritifs. Il permet également de nourrir, hydrater, assouplir et réparer les lèvres desséchées et gercées grâce aux agents hydratants et apaisants qu’il renferme. Conseil d’utilisation : Appliquez quotidiennement ce stick pour traiter les lèvres abîmées ou déshydratées. Après son application, Ce Baume à lèvres ARVEA est le remède qu’il faut pour assurer le bien-être de vos lèvres. Les lèvres sont réparées, hydratées, nourries et repulpées.;;;taxable;;1;;0;0;;;;;1;;12,9;9,03;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Yellow;1;1;;;;;1;;;;
;simple;;Masque Exfoliant;1;1;visible;;Vous souhaitez exfolier délicatement votre visage ? Le masque Gommage Gourmand Abricot ARVEA répond aujourd’hui à votre besoin. Grâce à la poudre de noyaux d’abricot, ce masque exfoliant fruité permet une élimination efficace des cellules mortes de la peau du visage et gomme énergiquement les impuretés cutanées comme l’excès de sébum pour qu’elle retrouve douceur, transparence, fraîcheur, tonus et éclat. Particulièrement adapté aux peaux mixtes et grasses, ce gommage unifie le teint et stimule le renouvellement cellulaire. Ingrédients actifs : La poudre de noyaux d'abricot : Aloe vera, Huile d’argan bio Extrait naturel de concombre, Huile naturelle de nigelle . Appliquez sur le visage mouillé avec un léger massage circulaire pour un nettoyage profond puis rincez avec l'eau.;;;taxable;;1;;0;0;;;;;1;;29,9;20,93;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;;;;
;simple;;Crème De Jour;1;1;visible;;"creme protectrice Crème de jour hydratante à l’Aloe Vera et Huile d’Argan pour apporter hydratation intense à la peau et lui rendre son élasticité. L’indice solaire SPF15 permet de protéger la peau contre les agressions des rayons UV. Mode d’emploi: Appliquez une noisette de crème chaque matin sur le visage et le cou bien nettoyés.

";;;taxable;;1;;0;0;;;;;1;;29,8;20,86;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Gray;1;1;;;;;1;;;;
;simple;;BB Cream;1;1;visible;;Ce coffret contient 6 Savons ARVEA avec des parfums qui vont plonger votre maison dans le monde des parfums orientaux (Sans colorants) Les 6 savons sont dans un coffret prestigieux en bois. Le coffret Oriental est une très bonne idée Cadeaux Les 6 parfums sont : Savon Bkhour, Savon Misk, Savon Nigel, Savon Datte, Savon Ambre, Savon Oud des parfums qui nous font voyager dans l’univers Oriental.;;;taxable;;1;;0;0;;;;;1;;48,9;34,23;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;;;;
